City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,75.51,light rain,-23.1203,-134.9692,People ThankYou
1,Novo Aripuana,BR,74.25,overcast clouds,-5.1206,-60.3797,POUSADA Flexy
5,Cayenne,GF,80.1,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
7,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti Beach Resort
8,Pahrump,US,69.17,few clouds,36.2083,-115.9839,Best Western Pahrump Oasis
9,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
10,Georgetown,MY,89.89,few clouds,5.4112,100.3354,Cititel Penang
11,Atuona,PF,78.24,clear sky,-9.8,-139.0333,Villa Enata
12,Dubbo,AU,82.53,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
13,New Norfolk,AU,68.67,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
14,Hambantota,LK,80.4,overcast clouds,6.1241,81.1185,Bungalow 63
17,Bambous Virieux,MU,81.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
22,Berbera,SO,81.68,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
27,Busselton,AU,70.09,few clouds,-33.65,115.3333,Observatory Guest House
34,Arraial Do Cabo,BR,69.17,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
36,Lorengau,PG,85.06,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
37,Tiarei,PF,78.82,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
38,Dawei,MM,91.94,overcast clouds,14.0833,98.2,Hotel Dawei
40,Kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Charters Towers,AU,90.5,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
46,Karoi,ZW,77.94,scattered clouds,-16.8099,29.6925,Chikangwe Guest houses
47,Tabou,CI,77.52,light rain,4.423,-7.3528,hotêl doufoulougou
49,Gannavaram,IN,80.58,scattered clouds,16.5333,80.8,K guest house.
50,Monte Aprazivel,BR,75.85,scattered clouds,-20.7725,-49.7142,Torres Palace Hotel
51,Dutse,NG,73.33,scattered clouds,11.7594,9.3392,Central Mosque Galamawa
53,Puerto Ayora,EC,69.21,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
57,Oyama,JP,70.66,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
58,Cozumel,MX,75.94,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
68,Ribeira Grande,PT,69.66,broken clouds,38.5167,-28.7,Quinta da Meia Eira
70,Hithadhoo,MV,83.05,overcast clouds,-0.6,73.0833,Scoop Guest House
71,Hilo,US,74.93,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
73,Kismayo,SO,80.89,overcast clouds,-0.3582,42.5454,Agan-Hotel
74,Yulara,AU,75.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
78,Bengkulu,ID,84.61,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
