City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,75.51,77,100,8.93,light rain
1,Novo Aripuana,BR,-5.1206,-60.3797,74.25,95,98,1.28,overcast clouds
2,Aksarka,RU,66.5606,67.7975,14.04,88,96,4.5,overcast clouds
3,Pilar Do Sul,BR,-23.8131,-47.7164,58.93,94,35,6.73,scattered clouds
4,Bluff,NZ,-46.6,168.3333,58.84,76,93,12.01,overcast clouds
5,Cayenne,GF,4.9333,-52.3333,80.1,85,40,1.01,scattered clouds
6,Bethanien,NA,-26.502,17.1583,50.22,66,0,13.94,clear sky
7,Vaini,TO,-21.2,-175.2,77.16,100,90,2.3,moderate rain
8,Pahrump,US,36.2083,-115.9839,69.17,24,13,1.01,few clouds
9,Avarua,CK,-21.2078,-159.775,73.45,73,40,9.22,scattered clouds
10,Georgetown,MY,5.4112,100.3354,89.89,71,20,1.99,few clouds
11,Atuona,PF,-9.8,-139.0333,78.24,76,9,17.36,clear sky
12,Dubbo,AU,-32.25,148.6167,82.53,30,40,16.11,scattered clouds
13,New Norfolk,AU,-42.7826,147.0587,68.67,34,16,5.01,few clouds
14,Hambantota,LK,6.1241,81.1185,80.4,76,100,19.6,overcast clouds
15,Nome,US,64.5011,-165.4064,21.27,79,90,13.8,light snow
16,Ushuaia,AR,-54.8,-68.3,40.66,81,40,9.22,scattered clouds
17,Bambous Virieux,MU,-20.3428,57.7575,81.21,73,75,12.66,broken clouds
18,Merauke,ID,-8.4667,140.3333,86.76,65,82,8.32,moderate rain
19,Mataura,NZ,-46.1927,168.8643,67.06,57,100,3.11,overcast clouds
20,Husavik,IS,66.0449,-17.3389,31.91,96,100,11.32,snow
21,Cape Town,ZA,-33.9258,18.4232,63.01,69,20,4.0,few clouds
22,Berbera,SO,10.4396,45.0143,81.68,59,9,1.77,clear sky
23,Leningradskiy,RU,69.3833,178.4167,11.41,82,76,10.29,broken clouds
24,Dikson,RU,73.5069,80.5464,5.34,97,97,3.09,overcast clouds
25,Andros,GR,37.8333,24.9333,61.36,81,100,5.28,overcast clouds
26,Les Escoumins,CA,48.1111,-69.0236,43.36,84,98,8.77,overcast clouds
27,Busselton,AU,-33.65,115.3333,70.09,46,13,7.85,few clouds
28,Grindavik,IS,63.8424,-22.4338,41.47,93,90,37.98,light rain
29,Punta Arenas,CL,-53.15,-70.9167,41.11,81,20,9.22,few clouds
30,Kedrovyy,RU,56.1667,91.8167,41.41,61,62,14.25,broken clouds
31,Muros,ES,42.7762,-9.0603,54.23,85,94,9.4,overcast clouds
32,Barrow,US,71.2906,-156.7887,24.82,63,90,17.27,overcast clouds
33,Port Alfred,ZA,-33.5906,26.891,63.72,89,100,5.21,moderate rain
34,Arraial Do Cabo,BR,-22.9661,-42.0278,69.17,77,52,6.15,broken clouds
35,Pirgos,GR,35.1167,25.7178,63.63,76,90,1.5,overcast clouds
36,Lorengau,PG,-2.0226,147.2712,85.06,68,32,12.24,scattered clouds
37,Tiarei,PF,-17.5333,-149.3333,78.82,76,17,5.41,few clouds
38,Dawei,MM,14.0833,98.2,91.94,54,96,0.92,overcast clouds
39,Norman Wells,CA,65.282,-126.8329,12.24,85,90,8.05,light snow
40,Kapaa,US,22.0752,-159.319,78.78,76,20,1.01,few clouds
41,Khatanga,RU,71.9667,102.5,1.29,98,99,8.46,overcast clouds
42,Torbay,CA,47.6666,-52.7314,47.26,88,90,13.8,overcast clouds
43,Charters Towers,AU,-20.1,146.2667,90.5,40,37,14.88,scattered clouds
44,Xinyu,CN,27.8043,114.9334,54.09,47,4,5.12,clear sky
45,Lompoc,US,34.6391,-120.4579,59.63,67,1,6.91,clear sky
46,Karoi,ZW,-16.8099,29.6925,77.94,23,31,9.82,scattered clouds
