City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Henties Bay,NA,2021-11-08 01:23:57,-22.116,14.2845,55.85,91,21,12.71
1,Tuktoyaktuk,CA,2021-11-08 01:23:58,69.4541,-133.0374,21.2,79,90,11.5
2,Ushuaia,AR,2021-11-08 01:23:58,-54.8,-68.3,42.46,70,40,10.36
3,Puerto Madero,MX,2021-11-08 01:23:58,14.7208,-92.4215,79.0,94,75,0.0
4,Chokurdakh,RU,2021-11-08 01:23:59,70.6333,147.9167,-14.57,94,100,6.26
5,Pevek,RU,2021-11-08 01:23:59,69.7008,170.3133,3.88,93,100,6.29
6,Mar Del Plata,AR,2021-11-08 01:23:59,-38.0023,-57.5575,59.88,83,0,15.01
7,Kununurra,AU,2021-11-08 01:20:25,-15.7667,128.7333,93.18,62,75,4.61
8,Moindou,NC,2021-11-08 01:24:00,-21.6924,165.677,84.15,58,90,8.79
9,Saint George,US,2021-11-08 01:21:01,37.1041,-113.5841,72.19,26,1,8.05
10,Waingapu,ID,2021-11-08 01:24:00,-9.6567,120.2641,85.51,65,92,4.99
11,Ovruch,UA,2021-11-08 01:24:01,51.3246,28.8035,42.82,81,100,9.98
12,Nanortalik,GL,2021-11-08 01:24:02,60.1432,-45.2371,30.47,62,100,5.37
13,Pacific Grove,US,2021-11-08 01:20:09,36.6177,-121.9166,60.51,76,1,1.01
14,Punta Arenas,CL,2021-11-08 01:21:05,-53.15,-70.9167,44.71,65,20,6.91
15,Deputatskiy,RU,2021-11-08 01:24:03,69.3,139.9,-17.82,82,1,3.31
16,Qaanaaq,GL,2021-11-08 01:24:03,77.484,-69.3632,3.42,69,18,7.18
17,Jamestown,US,2021-11-08 01:21:20,42.097,-79.2353,49.64,76,1,1.99
18,Vanimo,PG,2021-11-08 01:19:34,-2.6741,141.3028,86.36,65,77,7.96
19,Tautira,PF,2021-11-08 01:24:04,-17.7333,-149.15,80.62,77,20,7.99
20,Busselton,AU,2021-11-08 01:24:04,-33.65,115.3333,65.05,57,5,13.47
21,Meulaboh,ID,2021-11-08 01:24:04,4.1363,96.1285,76.87,92,100,11.14
22,Atuona,PF,2021-11-08 01:21:17,-9.8,-139.0333,78.39,75,4,17.22
23,Torrington,US,2021-11-08 01:24:05,41.8007,-73.1212,44.47,78,100,4.07
24,Klaksvik,FO,2021-11-08 01:24:05,62.2266,-6.589,45.52,78,98,19.69
25,Petauke,ZM,2021-11-08 01:24:05,-14.2426,31.3253,71.82,31,52,2.93
26,Denia,ES,2021-11-08 01:24:06,38.8408,0.1057,59.47,48,63,3.0
27,Ternate,ID,2021-11-08 01:24:06,0.8,127.4,84.69,72,100,4.16
28,Nuevo Progreso,MX,2021-11-08 01:24:06,23.1667,-97.95,75.6,82,86,4.29
29,Barrow,US,2021-11-08 01:24:07,71.2906,-156.7887,26.62,63,90,10.36
30,Hamilton,US,2021-11-08 01:24:07,39.1834,-84.5333,52.72,69,1,0.0
31,Touros,BR,2021-11-08 01:24:07,-5.1989,-35.4608,81.5,76,80,13.04
32,Aklavik,CA,2021-11-08 01:24:08,68.2191,-135.0107,14.83,97,78,3.62
33,Sao Joao Da Barra,BR,2021-11-08 01:24:08,-21.6403,-41.0511,71.35,75,100,7.56
34,Avarua,CK,2021-11-08 01:22:13,-21.2078,-159.775,77.05,57,23,16.11
35,Saint John,CA,2021-11-08 01:23:02,45.2727,-66.0677,41.38,92,1,2.3
36,Rikitea,PF,2021-11-08 01:24:09,-23.1203,-134.9692,74.88,80,100,14.83
37,Mataura,NZ,2021-11-08 01:21:15,-46.1927,168.8643,73.11,37,100,3.44
38,Nerchinskiy Zavod,RU,2021-11-08 01:24:09,51.3088,119.61,14.94,69,3,3.06
39,La Rioja,ES,2021-11-08 01:24:09,42.25,-2.5,47.05,95,100,7.23
40,Katsuura,JP,2021-11-08 01:24:10,35.1333,140.3,68.18,60,100,17.02
41,Los Llanos De Aridane,ES,2021-11-08 01:23:49,28.6585,-17.9182,64.15,62,75,15.01
42,East London,ZA,2021-11-08 01:24:10,-33.0153,27.9116,64.2,94,100,8.57
43,Esperance,AU,2021-11-08 01:21:28,-33.8667,121.9,61.16,59,100,9.31
44,Victoria,HK,2021-11-08 01:22:16,22.2855,114.1577,67.32,78,93,1.99
45,Ilawa,PL,2021-11-08 01:25:11,53.596,19.5685,44.85,79,100,12.93
46,Bredasdorp,ZA,2021-11-08 01:25:11,-34.5322,20.0403,52.92,82,96,2.3
47,Xuchang,CN,2021-11-08 01:25:12,34.0167,113.8167,43.68,38,0,13.42
48,Ribeira Grande,PT,2021-11-08 01:25:12,38.5167,-28.7,69.48,86,22,23.87
49,Hobart,AU,2021-11-08 01:24:14,-42.8794,147.3294,62.06,49,75,1.01
50,Nikolskoye,RU,2021-11-08 01:25:13,59.7035,30.7861,37.87,98,100,8.03
51,Huilong,CN,2021-11-08 01:25:13,31.8111,121.655,47.03,60,10,24.49
52,Tsabong,BW,2021-11-08 01:25:13,-26.0217,22.401,77.92,16,100,8.19
53,Bluff,NZ,2021-11-08 01:25:14,-46.6,168.3333,60.13,64,84,2.42
54,Kodiak,US,2021-11-08 01:25:14,57.79,-152.4072,35.11,64,75,16.11
55,Georgetown,MY,2021-11-08 01:22:50,5.4112,100.3354,80.89,89,20,1.01
56,Puerto Cabezas,NI,2021-11-08 01:25:15,14.0351,-83.3888,75.63,92,100,10.54
57,Houma,US,2021-11-08 01:25:07,29.5958,-90.7195,56.01,94,1,0.0
58,New Norfolk,AU,2021-11-08 01:25:15,-42.7826,147.0587,61.72,39,10,5.01
59,Kudahuvadhoo,MV,2021-11-08 01:21:15,2.6708,72.8944,82.76,71,93,16.89
60,Bekhteyevka,RU,2021-11-08 01:25:16,50.8072,37.2085,43.7,78,100,11.14
61,Cape Town,ZA,2021-11-08 01:24:09,-33.9258,18.4232,59.27,73,0,1.99
62,Yellowknife,CA,2021-11-08 01:21:04,62.456,-114.3525,28.42,99,90,4.0
63,Geraldton,AU,2021-11-08 01:25:17,-28.7667,114.6,72.01,53,75,10.36
64,Hambantota,LK,2021-11-08 01:25:17,6.1241,81.1185,77.34,94,20,4.61
65,Vientiane,LA,2021-11-08 01:25:17,17.9667,102.6,80.55,80,23,6.91
66,Kapaa,US,2021-11-08 01:25:18,22.0752,-159.319,84.18,69,20,4.0
67,Emerald,AU,2021-11-08 01:25:18,-23.5333,148.1667,84.34,61,75,9.22
68,Bengkulu,ID,2021-11-08 01:24:10,-3.8004,102.2655,79.57,74,100,5.5
69,Sao Joao Do Paraiso,BR,2021-11-08 01:25:19,-15.3136,-42.0144,68.72,93,100,5.19
70,Vaini,TO,2021-11-08 01:24:11,-21.2,-175.2,80.76,89,75,8.05
71,Saint-Philippe,RE,2021-11-08 01:21:06,-21.3585,55.7679,72.95,81,42,9.71
72,Cabo San Lucas,MX,2021-11-08 01:25:19,22.8909,-109.9124,80.62,65,10,7.07
73,Iquitos,PE,2021-11-08 01:25:20,-3.7481,-73.2472,75.24,94,75,3.44
74,Hermanus,ZA,2021-11-08 01:25:20,-34.4187,19.2345,57.9,71,66,5.39
75,Mbigou,GA,2021-11-08 01:25:20,-1.9005,11.906,67.71,99,100,2.48
76,Duyure,HN,2021-11-08 01:25:21,13.6333,-86.8167,69.01,78,96,5.48
77,Hualmay,PE,2021-11-08 01:25:21,-11.0964,-77.6139,64.31,82,99,7.72
78,Bela,IN,2021-11-08 01:25:22,25.9333,81.9833,63.34,57,89,3.22
79,Luderitz,NA,2021-11-08 01:21:22,-26.6481,15.1594,56.66,84,0,9.22
80,Yulin,CN,2021-11-08 01:25:22,22.6333,110.15,53.64,50,100,11.79
81,Muroto,JP,2021-11-08 01:25:23,33.2833,134.15,73.44,69,100,25.81
82,Albany,US,2021-11-08 01:25:23,42.6001,-73.9662,42.8,75,19,3.18
83,Lahad Datu,MY,2021-11-08 01:25:24,5.0268,118.327,83.1,79,71,3.96
84,Orlik,RU,2021-11-08 01:25:24,52.5178,99.825,8.92,90,99,3.31
85,Hilo,US,2021-11-08 01:25:25,19.7297,-155.09,78.53,79,90,0.0
86,Cayenne,GF,2021-11-08 01:25:23,4.9333,-52.3333,81.09,84,40,4.0
87,Tuatapere,NZ,2021-11-08 01:21:22,-46.1333,167.6833,68.81,47,99,2.39
88,Dikson,RU,2021-11-08 01:25:26,73.5069,80.5464,8.64,96,100,1.72
89,Concepcion Del Oro,MX,2021-11-08 01:26:26,24.6333,-101.4167,61.83,29,0,2.95
90,Severnoye,RU,2021-11-08 01:26:27,56.3491,78.3619,28.08,67,52,15.32
91,Yatou,CN,2021-11-08 01:26:27,37.15,122.3833,38.8,76,49,23.76
92,Mahebourg,MU,2021-11-08 01:26:28,-20.4081,57.7,75.49,83,40,5.75
93,Zastron,ZA,2021-11-08 01:26:28,-30.3023,27.084,57.88,85,100,9.71
94,Olafsvik,IS,2021-11-08 01:26:29,64.8945,-23.7142,33.66,99,100,27.34
95,Denpasar,ID,2021-11-08 01:24:56,-8.65,115.2167,85.71,79,40,3.44
96,Launceston,AU,2021-11-08 01:26:30,-41.45,147.1667,64.62,53,40,5.01
97,Komsomolskiy,UZ,2021-11-08 01:26:30,40.4272,71.7189,36.32,69,75,6.91
98,Bandiagara,ML,2021-11-08 01:26:31,14.3501,-3.6104,85.89,24,59,2.01
99,La Ronge,CA,2021-11-08 01:26:31,55.1001,-105.2842,30.45,80,20,3.44
100,Sitka,US,2021-11-08 01:26:31,57.0531,-135.33,44.49,57,40,8.05
101,Port Elizabeth,ZA,2021-11-08 01:25:21,-33.918,25.5701,59.09,82,100,4.9
102,Kloulklubed,PW,2021-11-08 01:26:32,7.0419,134.2556,84.7,76,98,16.91
103,Butaritari,KI,2021-11-08 01:26:32,3.0707,172.7902,82.31,68,1,11.81
104,Camacha,PT,2021-11-08 01:26:33,33.0833,-16.3333,63.82,63,40,12.66
105,Remontnoye,RU,2021-11-08 01:26:33,46.5614,43.6501,42.49,65,100,4.74
106,Bartica,GY,2021-11-08 01:26:34,6.4,-58.6167,77.32,99,100,1.88
107,Mount Gambier,AU,2021-11-08 01:26:35,-37.8333,140.7667,60.71,51,90,10.36
108,Gizo,SB,2021-11-08 01:26:35,-8.103,156.8419,84.45,69,90,6.38
109,Ilulissat,GL,2021-11-08 01:24:09,69.2167,-51.1,12.22,52,13,19.57
110,Cidreira,BR,2021-11-08 01:26:36,-30.1811,-50.2056,62.38,72,1,4.99
111,Port Lincoln,AU,2021-11-08 01:26:36,-34.7333,135.8667,59.18,58,100,5.35
112,Saskylakh,RU,2021-11-08 01:26:36,71.9167,114.0833,11.84,94,100,9.8
113,Thompson,CA,2021-11-08 01:26:25,55.7435,-97.8558,37.56,81,75,4.61
114,Flinders,AU,2021-11-08 01:26:37,-34.5833,150.8552,76.8,74,50,5.01
115,Provideniya,RU,2021-11-08 01:26:37,64.3833,-173.3,19.51,68,20,4.47
116,Ananas,HT,2021-11-08 01:26:38,19.2466,-71.9557,72.3,82,100,3.24
117,Kirakira,SB,2021-11-08 01:26:38,-10.4544,161.9205,86.68,63,2,8.84
118,Freeport,US,2021-11-08 01:26:39,40.6576,-73.5832,54.01,63,1,3.44
119,Narasannapeta,IN,2021-11-08 01:26:39,18.4167,84.05,69.53,73,100,6.13
120,Zhenlai,CN,2021-11-08 01:26:39,45.8495,123.2973,24.87,68,100,24.36
121,Longyearbyen,SJ,2021-11-08 01:26:40,78.2186,15.6401,13.84,67,75,6.91
122,Adrar,MR,2021-11-08 01:26:40,20.5022,-10.0711,69.84,25,100,6.69
123,Durant,US,2021-11-08 01:26:40,33.994,-96.3708,62.53,65,1,5.75
124,Kaitangata,NZ,2021-11-08 01:26:41,-46.2817,169.8464,62.92,73,70,6.93
125,Belmonte,BR,2021-11-08 01:26:42,-15.8631,-38.8828,77.5,87,100,5.12
126,Camocim,BR,2021-11-08 01:26:41,-2.9022,-40.8411,78.1,85,100,5.97
127,Narsaq,GL,2021-11-08 01:22:39,60.9167,-46.05,32.22,80,100,2.46
128,Pangnirtung,CA,2021-11-08 01:26:42,66.1451,-65.7125,15.8,67,20,0.0
129,Wewak,PG,2021-11-08 01:26:42,-3.5534,143.6268,85.41,68,11,6.85
130,Cherskiy,RU,2021-11-08 01:26:43,68.75,161.3,0.57,100,93,4.79
131,Nemuro,JP,2021-11-08 01:26:43,43.3236,145.575,46.83,70,81,8.23
132,Bethel,US,2021-11-08 01:27:44,41.3712,-73.414,47.48,66,1,0.0
133,Acapulco,MX,2021-11-08 01:27:44,16.8634,-99.8901,82.22,83,40,4.61
134,Tabory,RU,2021-11-08 01:27:45,58.5198,64.5495,33.33,97,100,9.98
135,Dunedin,NZ,2021-11-08 01:26:10,-45.8742,170.5036,64.8,68,25,6.64
136,Baykit,RU,2021-11-08 01:27:46,61.67,96.37,29.86,90,100,10.07
137,Presidente Epitacio,BR,2021-11-08 01:27:46,-21.7633,-52.1156,78.75,71,97,4.97
138,Bataipora,BR,2021-11-08 01:27:46,-22.2953,-53.2711,74.12,87,70,4.79
139,Voh,NC,2021-11-08 01:27:47,-20.9667,164.7,79.74,62,100,4.34
140,Tasiilaq,GL,2021-11-08 01:27:47,65.6145,-37.6368,26.76,75,100,6.06
141,Nelson Bay,AU,2021-11-08 01:27:48,-32.7167,152.15,74.75,78,53,4.0
142,Saint-Pierre,RE,2021-11-08 01:27:48,-21.3393,55.4781,73.04,76,0,4.61
143,Bijapur,IN,2021-11-08 01:27:48,16.8333,75.7,66.7,69,68,7.76
144,Coihaique,CL,2021-11-08 01:27:49,-45.5752,-72.0662,49.95,66,0,3.44
145,Verkhnyaya Inta,RU,2021-11-08 01:27:49,65.9811,60.3094,23.95,95,100,5.44
146,Flin Flon,CA,2021-11-08 01:27:49,54.7682,-101.865,34.39,72,100,2.44
147,Gogrial,SS,2021-11-08 01:27:50,8.5332,28.1004,78.39,52,14,3.65
148,Lompoc,US,2021-11-08 01:25:52,34.6391,-120.4579,67.78,73,40,11.5
149,Dharchula,IN,2021-11-08 01:27:50,29.85,80.5333,51.21,28,0,8.46
150,Savonlinna,FI,2021-11-08 01:27:51,61.8699,28.88,32.25,93,90,8.05
151,Bintulu,MY,2021-11-08 01:27:51,3.1667,113.0333,79.21,94,20,2.3
152,New Delhi,IN,2021-11-08 01:23:29,28.6128,77.2311,62.76,82,0,0.0
153,Chokwe,MZ,2021-11-08 01:27:51,-24.5333,32.9833,73.83,82,95,9.69
154,Ponta Do Sol,PT,2021-11-08 01:27:52,32.6667,-17.1,66.83,65,16,7.81
155,Deoli,IN,2021-11-08 01:27:52,25.75,75.3833,67.5,39,100,3.56
156,Lerwick,GB,2021-11-08 01:27:53,60.1545,-1.1494,42.8,65,100,8.52
157,Merrill,US,2021-11-08 01:27:53,45.1805,-89.6835,55.17,90,1,0.0
158,Tura,IN,2021-11-08 01:27:53,25.5198,90.2201,62.76,84,73,3.04
159,Sao Filipe,CV,2021-11-08 01:27:54,14.8961,-24.4956,78.19,73,100,7.07
160,Asind,IN,2021-11-08 01:27:54,25.7333,74.3333,67.98,36,100,2.84
161,Iranshahr,IR,2021-11-08 01:27:55,27.2025,60.6848,65.79,40,0,1.43
162,Tessalit,ML,2021-11-08 01:27:55,20.1986,1.0114,78.78,21,58,7.49
163,Shimoda,JP,2021-11-08 01:27:55,34.6667,138.95,62.96,72,72,17.78
164,Arlit,NE,2021-11-08 01:27:56,18.7369,7.3853,77.72,13,24,7.54
165,High Rock,BS,2021-11-08 01:27:56,26.6208,-78.2833,69.82,75,90,21.97
166,Coquimbo,CL,2021-11-08 01:27:56,-29.9533,-71.3436,55.13,87,0,5.75
167,Upernavik,GL,2021-11-08 01:27:57,72.7868,-56.1549,10.2,83,10,7.43
168,Biak,ID,2021-11-08 01:27:57,-0.9131,122.8766,83.97,69,82,1.05
169,Yumen,CN,2021-11-08 01:27:58,40.2833,97.2,16.18,44,9,9.62
170,Isangel,VU,2021-11-08 01:27:58,-19.55,169.2667,82.51,65,40,5.75
171,Hearst,CA,2021-11-08 01:27:58,49.6835,-83.6665,39.45,90,94,5.08
172,Fortuna,US,2021-11-08 01:27:59,40.5982,-124.1573,53.94,70,1,0.0
173,Taquaritinga,BR,2021-11-08 01:27:59,-21.4061,-48.5047,76.32,57,0,11.54
174,Maniitsoq,GL,2021-11-08 01:27:59,65.4167,-52.9,22.26,55,0,5.23
175,Vila,PT,2021-11-08 01:29:00,42.0304,-8.1588,45.34,59,100,3.96
176,Ibia,BR,2021-11-08 01:29:00,-19.4783,-46.5389,67.3,94,41,0.6
177,Teya,RU,2021-11-08 01:26:37,60.3778,92.6267,29.73,87,100,13.27
178,Karratha,AU,2021-11-08 01:29:00,-20.7377,116.8463,77.02,45,1,14.03
179,Puerto Ayora,EC,2021-11-08 01:29:01,-0.7393,-90.3518,69.62,80,53,9.17
180,Caravelas,BR,2021-11-08 01:29:02,-17.7125,-39.2481,72.95,82,100,4.72
181,Urumqi,CN,2021-11-08 01:29:02,43.801,87.6005,14.95,73,0,2.24
182,Sur,OM,2021-11-08 01:29:03,22.5667,59.5289,74.17,60,0,1.07
183,Bondo,CD,2021-11-08 01:29:04,3.8146,23.6866,68.61,99,100,0.6
184,Kaohsiung,TW,2021-11-08 01:29:04,22.6163,120.3133,82.35,70,20,4.0
185,Carnarvon,AU,2021-11-08 01:29:04,-24.8667,113.6333,71.67,53,81,13.8
186,Khandyga,RU,2021-11-08 01:29:05,62.6667,135.6,-8.43,95,99,4.92
187,Taunggyi,MM,2021-11-08 01:29:05,20.7833,97.0333,63.0,91,16,1.28
188,Copiapo,CL,2021-11-08 01:29:06,-27.3667,-70.3333,53.29,52,0,1.1
189,Kawalu,ID,2021-11-08 01:26:33,-7.3817,108.2082,77.9,83,96,2.66
190,Khatanga,RU,2021-11-08 01:29:06,71.9667,102.5,14.45,93,98,13.89
191,Luoyang,CN,2021-11-08 01:29:07,34.6836,112.4536,40.78,35,0,14.0
192,Umm Kaddadah,SD,2021-11-08 01:25:10,13.6017,26.6876,79.09,19,6,14.25
193,Codrington,AU,2021-11-08 01:29:07,-38.2667,141.9667,56.61,58,100,3.91
194,Namibe,AO,2021-11-08 01:29:08,-15.1961,12.1522,66.74,79,90,4.59
195,Kuryk,KZ,2021-11-08 01:29:08,43.2,51.65,46.31,55,98,9.46
196,Winnemucca,US,2021-11-08 01:29:08,40.973,-117.7357,42.85,39,1,3.44
197,Myrtle Beach,US,2021-11-08 01:25:03,33.6891,-78.8867,53.04,64,1,16.11
198,Port Augusta,AU,2021-11-08 01:29:09,-32.5,137.7667,72.72,46,100,12.08
199,Chapais,CA,2021-11-08 01:29:09,49.7834,-74.8492,38.98,96,100,6.89
200,Mount Isa,AU,2021-11-08 01:29:10,-20.7333,139.5,80.37,74,90,8.05
201,Ouargaye,BF,2021-11-08 01:29:10,11.5033,0.0572,81.55,23,77,5.53
202,Zima,RU,2021-11-08 01:29:10,53.9202,102.0442,25.09,79,100,4.07
203,Arraial Do Cabo,BR,2021-11-08 01:29:11,-22.9661,-42.0278,70.57,74,60,6.87
204,Koslan,RU,2021-11-08 01:29:11,63.4564,48.8989,28.06,92,100,5.91
205,Nsoko,SZ,2021-11-08 01:29:11,-27.0333,31.95,68.38,97,100,4.74
206,Constitucion,CL,2021-11-08 01:29:11,-35.3333,-72.4167,54.18,83,3,14.61
207,Jatiroto,ID,2021-11-08 01:29:12,-7.8833,111.1167,79.23,83,100,3.74
208,Batagay,RU,2021-11-08 01:29:12,67.6333,134.6333,-17.28,89,29,5.79
209,Diamantino,BR,2021-11-08 01:28:08,-14.4086,-56.4461,72.09,82,92,2.59
210,Shitkino,RU,2021-11-08 01:29:12,56.3703,98.3543,36.14,67,100,15.97
211,Muros,ES,2021-11-08 01:29:13,42.7762,-9.0603,55.99,83,100,11.41
212,Lazarev,RU,2021-11-08 01:29:13,52.225,141.5131,27.66,46,4,10.8
213,Lorengau,PG,2021-11-08 01:29:14,-2.0226,147.2712,83.07,78,62,10.76
214,Cervo,ES,2021-11-08 01:29:14,43.6702,-7.4101,53.96,80,100,4.03
215,Mehran,IR,2021-11-08 01:29:15,33.1222,46.1646,54.88,28,0,7.07
216,The Valley,AI,2021-11-08 01:29:06,18.217,-63.0578,77.09,75,46,14.34
217,Port Alfred,ZA,2021-11-08 01:29:15,-33.5906,26.891,64.6,86,100,7.94
218,Opuwo,NA,2021-11-08 01:29:15,-18.0607,13.84,66.78,38,63,3.15
219,Vagay,RU,2021-11-08 01:29:16,57.9375,69.0217,30.51,97,100,11.12
220,Damara,CF,2021-11-08 01:29:17,4.9608,18.7035,72.82,96,100,1.68
221,Namikupa,TZ,2021-11-08 01:29:17,-10.8333,39.6,68.31,98,32,3.02
222,Norman Wells,CA,2021-11-08 01:29:18,65.282,-126.8329,12.24,85,90,10.36
223,Hami,CN,2021-11-08 01:30:18,42.8,93.45,27.18,43,4,6.58
224,Kruisfontein,ZA,2021-11-08 01:30:18,-34.0033,24.7314,56.88,87,100,4.85
225,Pringsewu,ID,2021-11-08 01:30:20,-5.3582,104.9744,77.76,88,100,3.06
226,Kirensk,RU,2021-11-08 01:30:20,57.7853,108.1119,31.26,95,100,13.53
227,Klyuchi,RU,2021-11-08 01:30:21,52.2667,79.1667,27.14,60,100,11.88
228,Kiunga,PG,2021-11-08 01:30:21,-6.1219,141.2906,91.4,57,74,2.26
229,Teguldet,RU,2021-11-08 01:30:21,57.3064,88.1667,28.62,74,100,14.58
230,Chuy,UY,2021-11-08 01:27:47,-33.6971,-53.4616,54.48,82,5,4.14
231,Verkhoyansk,RU,2021-11-08 01:30:22,67.5447,133.385,-17.0,91,30,2.8
232,Hervey Bay,AU,2021-11-08 01:30:22,-25.2986,152.8535,80.04,80,86,17.36
233,Tepla,CZ,2021-11-08 01:30:23,49.98,12.8643,39.87,88,100,9.26
234,Camanducaia,BR,2021-11-08 01:30:23,-22.7553,-46.1447,59.85,98,30,3.47
235,Roccastrada,IT,2021-11-08 01:30:23,43.0099,11.1665,57.88,90,91,4.0
236,Vila Velha,BR,2021-11-08 01:29:36,-20.3297,-40.2925,71.94,88,90,1.99
237,Iqaluit,CA,2021-11-08 01:30:12,63.7506,-68.5145,10.13,78,1,15.99
238,Maceio,BR,2021-11-08 01:30:24,-9.6658,-35.7353,80.04,89,40,5.75
239,Ruidoso,US,2021-11-08 01:30:24,33.3317,-105.673,57.34,27,1,13.8
240,Nizhniy Lomov,RU,2021-11-08 01:30:25,53.5304,43.6766,40.06,88,88,12.24
241,Ternovka,RU,2021-11-08 01:30:26,51.678,41.6375,40.33,88,96,9.35
242,Tiksi,RU,2021-11-08 01:30:26,71.6872,128.8694,13.26,78,100,22.66
243,Arman,RU,2021-11-08 01:30:26,59.7,150.1667,22.8,89,100,8.5
244,Aljezur,PT,2021-11-08 01:30:27,37.3191,-8.8033,46.63,49,0,6.64
245,Vila Do Maio,CV,2021-11-08 01:30:27,15.1333,-23.2167,75.99,76,100,15.26
246,Neiafu,TO,2021-11-08 01:30:28,-18.65,-173.9833,77.68,100,90,2.3
247,Grootfontein,NA,2021-11-08 01:30:28,-19.5667,18.1167,69.37,56,98,6.91
248,Alice Springs,AU,2021-11-08 01:30:28,-23.7,133.8833,69.35,94,90,6.91
249,College,US,2021-11-08 01:30:08,64.8569,-147.8028,25.2,90,90,4.61
250,Oron,NG,2021-11-08 01:30:29,4.8256,8.2343,76.28,91,99,1.5
251,Manjakandriana,MG,2021-11-08 01:30:29,-18.9167,47.8,62.29,97,68,2.77
252,Talnakh,RU,2021-11-08 01:30:30,69.4865,88.3972,17.8,96,100,7.16
253,Myitkyina,MM,2021-11-08 01:30:30,25.3833,97.4,70.52,55,0,2.91
254,Shubarshi,KZ,2021-11-08 01:30:31,48.5872,57.1869,32.45,65,90,4.81
255,Berlevag,NO,2021-11-08 01:30:31,70.8578,29.0864,29.97,67,100,9.17
256,Castro,BR,2021-11-08 01:26:41,-24.7911,-50.0119,59.43,98,73,6.96
257,Buala,SB,2021-11-08 01:30:32,-8.145,159.5921,85.51,64,71,8.79
258,Rioja,AR,2021-11-08 01:30:32,-29.4111,-66.8507,71.15,60,41,5.57
259,Itamaraju,BR,2021-11-08 01:30:33,-17.0392,-39.5311,68.63,95,88,0.65
260,Linxia,CN,2021-11-08 01:30:33,35.6003,103.2064,26.29,53,79,0.51
261,Innisfail,AU,2021-11-08 01:30:34,-17.5333,146.0333,96.87,72,74,8.93
